week_id,week,total_transactions
1,"Week 1, 1 - 7 Jan 2018",89
2,"Week 2, 8 - 14 Jan 2018",65
3,"Week 3, 15 - 21 Jan 2018",78
4,"Week 4, 22 - 28 Jan 2018",65
5,"Week 5, 29 - 4 Feb 2018",83
6,"Week 6, 5 - 11 Feb 2018",92
7,"Week 7, 12 - 18 Feb 2018",66
8,"Week 8, 19 - 25 Feb 2018",107
9,"Week 9, 26 - 4 Mar 2018",73
10,"Week 10, 5 - 11 Mar 2018",97
11,"Week 11, 12 - 18 Mar 2018",67
12,"Week 12, 19 - 25 Mar 2018",77
13,"Week 13, 26 - 1 Apr 2018",80
14,"Week 14, 2 - 8 Apr 2018",87
15,"Week 15, 9 - 15 Apr 2018",72
16,"Week 16, 16 - 22 Apr 2018",86
17,"Week 17, 23 - 29 Apr 2018",93
18,"Week 18, 30 - 6 May 2018",78
19,"Week 19, 7 - 13 May 2018",89
20,"Week 20, 14 - 20 May 2018",92
21,"Week 21, 21 - 27 May 2018",81
22,"Week 22, 28 - 3 Jun 2018",33
23,"Week 23, 4 - 10 Jun 2018",79
24,"Week 24, 11 - 17 Jun 2018",71
25,"Week 25, 18 - 24 Jun 2018",104
26,"Week 26, 25 - 1 Jul 2018",104
27,"Week 27, 2 - 8 Jul 2018",80
28,"Week 28, 9 - 15 Jul 2018",75
29,"Week 29, 16 - 22 Jul 2018",86
30,"Week 30, 23 - 29 Jul 2018",78
31,"Week 31, 30 - 5 Aug 2018",94
32,"Week 32, 6 - 12 Aug 2018",94
33,"Week 33, 13 - 19 Aug 2018",71
34,"Week 34, 20 - 26 Aug 2018",70
35,"Week 35, 27 - 2 Sep 2018",118
36,"Week 36, 3 - 9 Sep 2018",100
37,"Week 37, 10 - 16 Sep 2018",86
38,"Week 38, 17 - 23 Sep 2018",95
39,"Week 39, 24 - 30 Sep 2018",87
40,"Week 40, 1 - 7 Oct 2018",95
41,"Week 41, 8 - 14 Oct 2018",80
42,"Week 42, 15 - 21 Oct 2018",84
43,"Week 43, 22 - 28 Oct 2018",92
44,"Week 44, 29 - 4 Nov 2018",88
45,"Week 45, 5 - 11 Nov 2018",109
46,"Week 46, 12 - 18 Nov 2018",90
47,"Week 47, 19 - 25 Nov 2018",78
48,"Week 48, 26 - 2 Dec 2018",96
49,"Week 49, 3 - 9 Dec 2018",101
50,"Week 50, 10 - 16 Dec 2018",107
51,"Week 51, 17 - 23 Dec 2018",109
52,"Week 52, 24 - 30 Dec 2018",65
